sample size, layer size,node size, activation, solver, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
3000,3,500,relu,lbfgs,76.22890997,0.232750177,0.048917055,0,0.131666667,0,0.131666667,1,1,1
45212,5,500,identity,lbfgs,75.98453474,3.147799015,0.768935919,0.102905803,0.101072653,0.102905803,0.101072653,0.897094197,0.635350318,0.282844991
8000,5,500,identity,adam,75.48185396,0.726357937,0.22856307,0.1046875,0.091875,0.1046875,0.091875,0.8953125,0.617948718,0.316272966
3000,3,500,relu,lbfgs,75.07393003,0.207372904,0.066367865,0,0.135,0,0.135,1,1,1
45212,5,500,identity,sgd,75.05232215,3.145406008,0.776943207,0.102325196,0.100630322,0.102325196,0.100630322,0.897674804,0.627828599,0.308128544
30000,3,500,logistic,adam,71.64991426,1.096412182,0.279971838,0.104458333,0.103166667,0.104458333,0.103166667,0.895541667,0.600256246,0.332269504
5000,2,500,relu,adam,71.40636492,0.197555065,0.032217979,0.0045,0.118,0.0045,0.118,0.9955,0.980932203,0.980932203
30000,1,500,relu,lbfgs,71.19226313,0.181357861,0.053911924,0.036166667,0.106166667,0.036166667,0.106166667,0.963833333,0.895461912,0.783687943
30000,4,50,tanh,adam,71.05675817,0.149895191,0.035780191,0.013291667,0.111,0.013291667,0.111,0.986708333,0.96366333,0.921631206
10000,5,500,identity,adam,70.68391299,0.965229988,0.239508867,0.10425,0.106,0.10425,0.106,0.89575,0.657894737,0.238853503
30000,3,50,tanh,adam,70.59382105,0.098091125,0.023863077,0.029541667,0.104,0.029541667,0.104,0.970458333,0.906117738,0.835106383
3000,5,500,relu,adam,70.22903109,0.438019037,0.245092869,0.001666667,0.118333333,0.001666667,0.118333333,0.998333333,0.996575342,0.989795918
30000,1,500,tanh,adam,70.219594,0.458595037,0.148700953,0.0835,0.093,0.0835,0.093,0.9165,0.733409611,0.454609929
45212,5,500,identity,adam,69.75059009,2.241423845,0.55871582,0.103044043,0.103616057,0.103044043,0.103616057,0.896955957,0.627332325,0.293950851
45212,5,500,logistic,sgd,69.35148907,2.850019932,0.741065979,0.117006276,0.116996572,0.117006276,0.116996572,0.882993724,0,0
45212,5,500,logistic,lbfgs,68.12026429,2.827084064,0.734924078,0.117006276,0.116996572,0.117006276,0.116996572,0.882993724,0,0
10000,3,500,tanh,sgd,67.74599981,0.693956137,0.208791733,0.10175,0.1045,0.10175,0.1045,0.89825,0.638528139,0.313163482
5000,3,500,tanh,sgd,65.83553171,0.448279142,0.14922905,0.10775,0.103,0.10775,0.103,0.89225,0.59030837,0.283898305
45212,1,500,relu,adam,63.85517502,0.239636898,0.062048912,0.063949791,0.098418666,0.063949791,0.098418666,0.936050209,0.772817742,0.642249527
30000,5,500,logistic,adam,63.80576682,1.983321905,0.512338161,0.103083333,0.102,0.103083333,0.102,0.896916667,0.628148148,0.30070922
30000,3,500,identity,adam,63.51380014,1.449573755,0.347905159,0.104916667,0.103833333,0.104916667,0.103833333,0.895083333,0.626254181,0.265602837
1000,3,500,relu,sgd,63.23490906,0.109416962,0.0174582,0.10125,0.1,0.10125,0.1,0.89875,0.69047619,0.298969072
45212,4,50,relu,sgd,62.92951083,0.106023788,0.025780201,0.091791313,0.097202256,0.091791313,0.097202256,0.908208687,0.671299775,0.422258979
45212,3,50,tanh,adam,61.65191126,0.14261508,0.033961296,0.034200558,0.109919275,0.034200558,0.109919275,0.965799442,0.890890107,0.80647448
1000,3,500,relu,sgd,60.62060905,0.114854097,0.012332916,0.1025,0.09,0.1025,0.09,0.8975,0.659574468,0.319587629
45212,3,500,identity,adam,60.49084473,1.62618494,0.384202957,0.104785866,0.101183236,0.104785866,0.101183236,0.895214134,0.624157303,0.262523629
8000,5,500,logistic,adam,60.45487213,1.026862144,0.25650382,0.1090625,0.1,0.1090625,0.1,0.8909375,0.623076923,0.212598425
30000,2,500,identity,adam,59.12348914,0.822149038,0.23174715,0.106791667,0.103833333,0.106791667,0.103833333,0.893208333,0.640130862,0.208156028
45212,4,50,tanh,lbfgs,58.58017111,0.16704917,0.04661417,0.062677984,0.099966825,0.062677984,0.099966825,0.937322016,0.767201523,0.666587902
30000,3,50,logistic,lbfgs,58.50031424,0.184598923,0.036053419,0.092333333,0.092,0.092333333,0.092,0.907666667,0.654554759,0.453546099
500,5,500,relu,sgd,56.25656915,0.058590174,0.023118019,0.1025,0.12,0.1025,0.12,0.8975,0,0
30000,3,500,identity,sgd,55.36729789,1.42048502,0.422803164,0.103916667,0.102166667,0.103916667,0.102166667,0.896083333,0.637668919,0.267730496
30000,2,500,logistic,adam,55.17391515,0.653048038,0.162417889,0.10125,0.098666667,0.10125,0.098666667,0.89875,0.648628049,0.30177305
10000,1,500,tanh,lbfgs,55.10169291,0.17062664,0.032989025,0.005375,0.133,0.005375,0.133,0.994625,0.985945946,0.968152866
3000,2,500,tanh,lbfgs,55.01941776,0.187283039,0.158289194,0,0.133333333,0,0.133333333,1,1,1
10000,5,500,logistic,adam,54.93411088,1.411140203,0.300263882,0.11125,0.1145,0.11125,0.1145,0.88875,0.649425287,0.119957537
45212,2,50,tanh,adam,54.82267594,0.106966972,0.035170078,0.057535459,0.103837222,0.057535459,0.103837222,0.942464541,0.817350251,0.654536862
45212,3,500,identity,sgd,54.81996799,1.86403203,0.302773952,0.103624651,0.101072653,0.103624651,0.101072653,0.896375349,0.638920781,0.262996219
30000,3,500,identity,sgd,54.69365191,1.499103308,0.346335888,0.104,0.101833333,0.104,0.101833333,0.896,0.624807396,0.287588652
1000,3,500,logistic,lbfgs,53.61421013,0.117933989,0.030883074,0.08375,0.105,0.08375,0.105,0.91625,0.75,0.463917526
45212,2,500,identity,adam,52.36171699,0.921842098,0.222306728,0.104122315,0.10096207,0.104122315,0.10096207,0.895877685,0.623150106,0.278591682
1000,5,500,tanh,lbfgs,52.19331098,0.100637913,0.039660931,0,0.11,0,0.11,1,1,1
8000,5,500,identity,sgd,52.10142183,0.754707098,0.149374008,0.10265625,0.091875,0.10265625,0.091875,0.89734375,0.653958944,0.292650919
1000,3,500,logistic,lbfgs,51.92643714,0.076392889,0.023942947,0.09125,0.125,0.09125,0.125,0.90875,0.7,0.432989691
5000,3,500,relu,adam,51.58906507,0.294775009,0.049559116,0.00875,0.113,0.00875,0.113,0.99125,0.98021978,0.944915254
5000,3,500,tanh,sgd,50.46499205,0.365926027,0.127601147,0.10775,0.104,0.10775,0.104,0.89225,0.589519651,0.286016949
10000,1,500,logistic,lbfgs,49.55911136,0.200665236,0.032103062,0.082875,0.1145,0.082875,0.1145,0.917125,0.712977099,0.495753715
10000,3,500,tanh,sgd,48.97808194,0.719187975,0.249948978,0.101875,0.1045,0.101875,0.1045,0.898125,0.6401766,0.307855626
45212,3,50,relu,sgd,47.63427901,0.09838295,0.023008823,0.096491471,0.097976335,0.096491471,0.097976335,0.903508529,0.642036753,0.396266541
1000,3,500,tanh,adam,47.49931002,0.107542038,0.014974117,0,0.105,0,0.105,1,1,1
45212,4,50,tanh,sgd,47.413692,0.163265944,0.040745974,0.095357903,0.097644587,0.095357903,0.097644587,0.904642097,0.65443787,0.392013233
8000,1,500,tanh,lbfgs,45.98357797,0.157799959,0.029535055,0,0.125625,0,0.125625,1,1,1
30000,3,500,logistic,lbfgs,45.74321198,2.346684933,0.584163189,0.1175,0.115166667,0.1175,0.115166667,0.8825,0,0
